ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"185.148.107.34","elite","AS209242","NL","Cloudflare London, LLC","7","NSS B.V","80","http","22697","100","11","11","2025-12-04T16:15:04.997Z","1176"
"185.206.80.227","elite","AS210021","IQ","DIL Technology Limited","86","Diltechnology","10801","socks4","1","81","8969","11092","2025-12-04T16:14:41.488Z","3314"
"154.66.110.146","elite","AS37642","LS","Comnet Pty Ltd","183","EnterpriseServices","57555","socks4","1","95","3569","3775","2025-12-04T16:14:41.691Z","4805"
"49.229.36.210","elite","AS45458","TH","AIS-Corporate","184","N/A","4153","socks4","1","99","4273","4326","2025-12-04T16:14:41.493Z","2516"
"188.165.231.180","elite","AS16276","FR","OVH SAS","14","OVH ISP","16276","socks4","65","100","11037","11038","2025-12-04T16:14:41.694Z","3191"
"51.15.133.214","elite","AS12876","FR","SCALEWAY","7","ONLINE","16379","socks5","1","12","516","4375","2025-12-04T16:14:41.690Z","4989"
"82.223.121.72","elite","AS8560","ES","arsys.es","40","N/A","61056","socks4","1","11","450","4278","2025-12-04T16:14:41.695Z","3904"
"103.88.239.179","elite","AS139490","IN","Mana Communications","201","N/A","84","socks4","1","99","731","739","2025-12-04T16:14:41.693Z","3003"
"192.200.160.41","elite","AS399566","US","Bigcommerce Inc.","10","Bigcommerce Inc","80","http","23613","100","23","23","2025-12-04T16:14:41.482Z","2115"
"185.6.104.150","elite","AS42560","BA","Telemach BH d.o.o. Sarajevo","34","Telemach","5678","socks4","1","99","10930","11055","2025-12-04T16:14:41.685Z","105"
"5.189.130.185","elite","AS51167","FR","Contabo GmbH","6","Contabo GmbH","80","socks4","1","100","632","632","2025-12-04T16:14:41.490Z","2833"
"167.60.79.203","elite","AS6057","UY","Administracion Nacional de Telecomunicaciones","231","Administracion Nacional de Telecomunicaciones","4145","socks4","1","95","2043","2145","2025-12-04T16:14:41.497Z","3403"
"14.161.17.194","elite","AS45899","VN","VNPT","219","Vietnam Posts and Telecommunications Group","8080","socks4","1","99","3816","3847","2025-12-04T16:14:41.492Z","1215"
"83.228.47.75","elite","AS8866","BG","BTC-BROADBAND","47","Bulgarian Telecommunications Company Plc.","4145","socks4","1","100","4329","4336","2025-12-04T16:14:41.494Z","3214"
"116.68.207.233","elite","AS23923","BD","Agni Systems Limited","196","Agni Systems Ltd.","1080","socks4","1","98","3882","3951","2025-12-04T16:14:41.694Z","3908"
"51.83.135.35","elite","AS16276","PL","OVH SAS","26","OVH Sp. z o. o","2846","socks4","1","89","9754","10988","2025-12-04T16:14:41.695Z","4681"
"104.17.237.178","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","http","23803","100","24","24","2025-12-04T16:14:41.467Z","4877"
"188.93.64.242","elite","AS47626","RU","Timer, LLC","58","Timer, LLC","4153","socks4","1","74","2794","3780","2025-12-04T16:14:41.492Z","3308"
"5.141.81.209","elite","AS12389","RU","Rostelecom networks","75","Dynamic distribution IPs for broadband services","5678","socks4","1","99","4125","4155","2025-12-04T16:14:41.394Z","4890"
"111.72.196.64","elite","AS4134","CN","Chinanet","490","Chinanet JX","2324","socks4","1","66","231","348","2025-12-04T16:14:41.564Z","3369"
"213.136.69.153","elite","AS51167","FR","Contabo GmbH","5","Contabo GmbH","63791","socks5","1","96","10637","11074","2025-12-04T16:14:41.498Z","3298"
"45.131.211.73","elite","AS209242","BZ","Cloudflare London, LLC","10","Inter Networks","80","http","23609","100","62","62","2025-12-04T16:14:41.487Z","3514"
"184.82.140.210","elite","AS133481","TH","AIS-Fibre","191","N/A","4145","socks4","1","97","10716","11091","2025-12-04T16:14:41.496Z","3423"
"105.214.40.19","elite","AS16637","ZA","MTN SA","196","MTN SA","5678","socks4","1","56","2341","4165","2025-12-04T16:14:41.562Z","4906"
